year,district,us_house_dem,us_house_rep,us_house_total
2008,25,115820,130891,246711
2014,1,54976,165086,235343
2014,2,126096,123262,249780
2014,3,73910,148691,228809
2014,4,0,177887,227253
2014,5,112340,59237,171577
2014,6,99563,166254,265817
2014,7,73011,144474,227164
2014,8,93724,180728,274513
2014,9,93850,74963,173878
2014,10,89426,143128,232574
2014,11,90786,181508,272294
2014,13,0,168172,223576
2014,15,84832,128750,213582
2014,16,105483,169126,274829
2014,17,82263,141493,223756
2014,18,151478,101896,253374
2014,19,80824,159354,246861
2014,20,128498,28968,157466
2014,21,153395,0,153970
2014,22,125404,90685,216096
2014,23,103269,61519,164788
2014,24,129192,15239,149918
2014,26,78306,83031,161337
2024,1,140980,274108,415088
2024,2,154323,247957,402280
2024,3,150283,241174,391457
2024,4,165912,222364,388349
2024,5,156570,267471,424064
2024,6,143050,284414,427474
2024,7,179917,233937,413854
2024,8,170096,280352,450448
2024,9,178785,138076,324273
2024,10,181455,109460,290915
2024,11,176726,269277,446003
2024,12,124949,306487,431436
2024,13,185930,225636,411593
2024,14,199423,145643,350185
2024,15,152361,195334,347695
2024,16,168625,247516,416141
2024,17,164566,291347,455921
2024,18,119637,225170,344807
2024,19,140038,275708,415746
2024,21,171312,277435,448766
2024,22,201608,165248,366856
2024,23,196311,178006,374317
2024,24,194874,90692,285588
2024,25,186942,156208,343191
2024,26,89072,217199,306271
2024,27,130708,199159,329867
2024,28,115280,210057,325337
2012,1,92961,238440,342594
2012,2,157634,175856,333718
2012,3,102468,204331,315669
2012,4,0,239988,315470
2012,5,190472,70700,269153
2012,6,146489,195962,342451
2012,7,130479,185518,316010
2012,8,130870,205432,348909
2012,9,164891,98856,263747
2012,10,153574,164649,318269
2012,11,120303,218360,338663
2012,12,108770,209604,330167
2012,13,139742,189605,329347
2012,14,197121,83480,280601
2012,16,161929,187147,349076
2012,17,116766,165488,282266
2012,18,166257,164353,330665
2012,19,109746,189833,306216
2012,20,214727,0,244285
2012,21,221263,0,284400
2012,22,171021,142050,313071
2012,23,174205,98096,275430
2012,25,0,151466,200229
2012,26,135694,108820,252957
2012,27,85020,138488,230171
2018,1,106199,216189,322388
2018,2,96233,199335,295568
2018,3,129880,176616,306496
2018,4,123351,248420,381249
2018,5,180527,89799,270326
2018,6,145758,187891,333649
2018,7,183113,134285,317398
2018,8,142415,218112,360527
2018,9,172172,124565,296737
2018,11,128053,239395,367506
2018,12,132844,194564,334918
2018,13,182717,134254,316971
2018,15,134132,151380,285532
2018,16,164463,197483,361946
2018,17,117194,193326,310520
2018,18,156454,185905,342359
2018,19,128106,211465,339607
2018,20,202659,0,202824
2018,22,184634,113049,297683
2018,23,161611,99446,276366
2018,25,84173,128672,212845
2018,26,119797,115678,235475
2018,27,130743,115588,252586
2016,1,114079,255107,369186
2016,2,102801,231163,343362
2016,3,136338,193843,342700
2016,4,113088,287509,409662
2016,5,194549,108325,302874
2016,6,151051,213519,364570
2016,7,182039,171583,353655
2016,8,127127,246483,390561
2016,9,195311,144450,339761
2016,10,198491,107498,305989
2016,11,124713,258016,394719
2016,12,116110,253559,369669
