contest_code,year,county_code,party,candidate_name
AGR,2010,ALA,DEM,Scott Maddox
AGR,2010,ALA,REP,Adam Putnam
AGR,2010,BAK,DEM,Scott Maddox
AGR,2010,BAK,REP,Adam Putnam
AGR,2010,BAY,DEM,Scott Maddox
AGR,2010,BAY,REP,Adam Putnam
AGR,2010,BRA,DEM,Scott Maddox
AGR,2010,BRA,REP,Adam Putnam
AGR,2010,BRE,DEM,Scott Maddox
AGR,2010,BRE,REP,Adam Putnam
AGR,2010,BRO,DEM,Scott Maddox
AGR,2010,BRO,REP,Adam Putnam
AGR,2010,CAL,DEM,Scott Maddox
AGR,2010,CAL,REP,Adam Putnam
AGR,2010,CHA,DEM,Scott Maddox
AGR,2010,CHA,REP,Adam Putnam
AGR,2010,CIT,DEM,Scott Maddox
AGR,2010,CIT,REP,Adam Putnam
AGR,2010,CLA,DEM,Scott Maddox
AGR,2010,CLA,REP,Adam Putnam
AGR,2010,CLL,DEM,Scott Maddox
AGR,2010,CLL,REP,Adam Putnam
AGR,2010,CLM,DEM,Scott Maddox
AGR,2010,CLM,REP,Adam Putnam
AGR,2010,DAD,DEM,Scott Maddox
AGR,2010,DAD,REP,Adam Putnam
AGR,2010,DES,DEM,Scott Maddox
AGR,2010,DES,REP,Adam Putnam
AGR,2010,DIX,DEM,Scott Maddox
AGR,2010,DIX,REP,Adam Putnam
AGR,2010,DUV,DEM,Scott Maddox
AGR,2010,DUV,REP,Adam Putnam
AGR,2010,ESC,DEM,Scott Maddox
AGR,2010,ESC,REP,Adam Putnam
AGR,2010,FLA,DEM,Scott Maddox
AGR,2010,FLA,REP,Adam Putnam
AGR,2010,FRA,DEM,Scott Maddox
AGR,2010,FRA,REP,Adam Putnam
AGR,2010,GAD,DEM,Scott Maddox
AGR,2010,GAD,REP,Adam Putnam
AGR,2010,GIL,DEM,Scott Maddox
AGR,2010,GIL,REP,Adam Putnam
AGR,2010,GLA,DEM,Scott Maddox
AGR,2010,GLA,REP,Adam Putnam
AGR,2010,GUL,DEM,Scott Maddox
AGR,2010,GUL,REP,Adam Putnam
AGR,2010,HAM,DEM,Scott Maddox
AGR,2010,HAM,REP,Adam Putnam
AGR,2010,HAR,DEM,Scott Maddox
AGR,2010,HAR,REP,Adam Putnam
AGR,2010,HEN,DEM,Scott Maddox
AGR,2010,HEN,REP,Adam Putnam
AGR,2010,HER,DEM,Scott Maddox
AGR,2010,HER,REP,Adam Putnam
AGR,2010,HIG,DEM,Scott Maddox
AGR,2010,HIG,REP,Adam Putnam
AGR,2010,HIL,DEM,Scott Maddox
AGR,2010,HIL,REP,Adam Putnam
AGR,2010,HOL,DEM,Scott Maddox
AGR,2010,HOL,REP,Adam Putnam
AGR,2010,IND,DEM,Scott Maddox
AGR,2010,IND,REP,Adam Putnam
AGR,2010,JAC,DEM,Scott Maddox
AGR,2010,JAC,REP,Adam Putnam
AGR,2010,JEF,DEM,Scott Maddox
AGR,2010,JEF,REP,Adam Putnam
AGR,2010,LAF,DEM,Scott Maddox
AGR,2010,LAF,REP,Adam Putnam
AGR,2010,LAK,DEM,Scott Maddox
AGR,2010,LAK,REP,Adam Putnam
AGR,2010,LEE,DEM,Scott Maddox
AGR,2010,LEE,REP,Adam Putnam
AGR,2010,LEO,DEM,Scott Maddox
AGR,2010,LEO,REP,Adam Putnam
AGR,2010,LEV,DEM,Scott Maddox
AGR,2010,LEV,REP,Adam Putnam
AGR,2010,LIB,DEM,Scott Maddox
AGR,2010,LIB,REP,Adam Putnam
AGR,2010,MAD,DEM,Scott Maddox
AGR,2010,MAD,REP,Adam Putnam
AGR,2010,MAN,DEM,Scott Maddox
AGR,2010,MAN,REP,Adam Putnam
AGR,2010,MON,DEM,Scott Maddox
AGR,2010,MON,REP,Adam Putnam
AGR,2010,MRN,DEM,Scott Maddox
AGR,2010,MRN,REP,Adam Putnam
AGR,2010,MRT,DEM,Scott Maddox
AGR,2010,MRT,REP,Adam Putnam
AGR,2010,NAS,DEM,Scott Maddox
AGR,2010,NAS,REP,Adam Putnam
AGR,2010,OKA,DEM,Scott Maddox
AGR,2010,OKA,REP,Adam Putnam
AGR,2010,OKE,DEM,Scott Maddox
AGR,2010,OKE,REP,Adam Putnam
AGR,2010,ORA,DEM,Scott Maddox
AGR,2010,ORA,REP,Adam Putnam
AGR,2010,OSC,DEM,Scott Maddox
AGR,2010,OSC,REP,Adam Putnam
AGR,2010,PAL,DEM,Scott Maddox
AGR,2010,PAL,REP,Adam Putnam
AGR,2010,PAS,DEM,Scott Maddox
AGR,2010,PAS,REP,Adam Putnam
AGR,2010,PIN,DEM,Scott Maddox
AGR,2010,PIN,REP,Adam Putnam
AGR,2010,POL,DEM,Scott Maddox
AGR,2010,POL,REP,Adam Putnam
AGR,2010,PUT,DEM,Scott Maddox
AGR,2010,PUT,REP,Adam Putnam
AGR,2010,SAN,DEM,Scott Maddox
AGR,2010,SAN,REP,Adam Putnam
AGR,2010,SAR,DEM,Scott Maddox
AGR,2010,SAR,REP,Adam Putnam
AGR,2010,SEM,DEM,Scott Maddox
AGR,2010,SEM,REP,Adam Putnam
AGR,2010,STJ,DEM,Scott Maddox
AGR,2010,STJ,REP,Adam Putnam
AGR,2010,STL,DEM,Scott Maddox
AGR,2010,STL,REP,Adam Putnam
AGR,2010,SUM,DEM,Scott Maddox
AGR,2010,SUM,REP,Adam Putnam
AGR,2010,SUW,DEM,Scott Maddox
AGR,2010,SUW,REP,Adam Putnam
AGR,2010,TAY,DEM,Scott Maddox
AGR,2010,TAY,REP,Adam Putnam
AGR,2010,UNI,DEM,Scott Maddox
AGR,2010,UNI,REP,Adam Putnam
AGR,2010,VOL,DEM,Scott Maddox
AGR,2010,VOL,REP,Adam Putnam
AGR,2010,WAK,DEM,Scott Maddox
AGR,2010,WAK,REP,Adam Putnam
AGR,2010,WAL,DEM,Scott Maddox
AGR,2010,WAL,REP,Adam Putnam
AGR,2010,WAS,DEM,Scott Maddox
AGR,2010,WAS,REP,Adam Putnam
AGR,2014,ALA,DEM,Thaddeus Hamilton
AGR,2014,ALA,REP,Adam Putnam
AGR,2014,BAK,DEM,Thaddeus Hamilton
AGR,2014,BAK,REP,Adam Putnam
AGR,2014,BAY,DEM,Thaddeus Hamilton
AGR,2014,BAY,REP,Adam Putnam
AGR,2014,BRA,DEM,Thaddeus Hamilton
AGR,2014,BRA,REP,Adam Putnam
AGR,2014,BRE,DEM,Thaddeus Hamilton
AGR,2014,BRE,REP,Adam Putnam
AGR,2014,BRO,DEM,Thaddeus Hamilton
AGR,2014,BRO,REP,Adam Putnam
AGR,2014,CAL,DEM,Thaddeus Hamilton
AGR,2014,CAL,REP,Adam Putnam
AGR,2014,CHA,DEM,Thaddeus Hamilton
AGR,2014,CHA,REP,Adam Putnam
AGR,2014,CIT,DEM,Thaddeus Hamilton
AGR,2014,CIT,REP,Adam Putnam
AGR,2014,CLA,DEM,Thaddeus Hamilton
AGR,2014,CLA,REP,Adam Putnam
AGR,2014,CLL,DEM,Thaddeus Hamilton
AGR,2014,CLL,REP,Adam Putnam
AGR,2014,CLM,DEM,Thaddeus Hamilton
AGR,2014,CLM,REP,Adam Putnam
AGR,2014,DAD,DEM,Thaddeus Hamilton
AGR,2014,DAD,REP,Adam Putnam
AGR,2014,DES,DEM,Thaddeus Hamilton
AGR,2014,DES,REP,Adam Putnam
AGR,2014,DIX,DEM,Thaddeus Hamilton
AGR,2014,DIX,REP,Adam Putnam
AGR,2014,DUV,DEM,Thaddeus Hamilton
AGR,2014,DUV,REP,Adam Putnam
AGR,2014,ESC,DEM,Thaddeus Hamilton
AGR,2014,ESC,REP,Adam Putnam
AGR,2014,FLA,DEM,Thaddeus Hamilton
AGR,2014,FLA,REP,Adam Putnam
AGR,2014,FRA,DEM,Thaddeus Hamilton
AGR,2014,FRA,REP,Adam Putnam
AGR,2014,GAD,DEM,Thaddeus Hamilton
AGR,2014,GAD,REP,Adam Putnam
AGR,2014,GIL,DEM,Thaddeus Hamilton
AGR,2014,GIL,REP,Adam Putnam
AGR,2014,GLA,DEM,Thaddeus Hamilton
AGR,2014,GLA,REP,Adam Putnam
AGR,2014,GUL,DEM,Thaddeus Hamilton
AGR,2014,GUL,REP,Adam Putnam
AGR,2014,HAM,DEM,Thaddeus Hamilton
AGR,2014,HAM,REP,Adam Putnam
AGR,2014,HAR,DEM,Thaddeus Hamilton
AGR,2014,HAR,REP,Adam Putnam
AGR,2014,HEN,DEM,Thaddeus Hamilton
AGR,2014,HEN,REP,Adam Putnam
AGR,2014,HER,DEM,Thaddeus Hamilton
AGR,2014,HER,REP,Adam Putnam
AGR,2014,HIG,DEM,Thaddeus Hamilton
AGR,2014,HIG,REP,Adam Putnam
AGR,2014,HIL,DEM,Thaddeus Hamilton
AGR,2014,HIL,REP,Adam Putnam
AGR,2014,HOL,DEM,Thaddeus Hamilton
AGR,2014,HOL,REP,Adam Putnam
AGR,2014,IND,DEM,Thaddeus Hamilton
AGR,2014,IND,REP,Adam Putnam
AGR,2014,JAC,DEM,Thaddeus Hamilton
AGR,2014,JAC,REP,Adam Putnam
AGR,2014,JEF,DEM,Thaddeus Hamilton
AGR,2014,JEF,REP,Adam Putnam
AGR,2014,LAF,DEM,Thaddeus Hamilton
AGR,2014,LAF,REP,Adam Putnam
AGR,2014,LAK,DEM,Thaddeus Hamilton
AGR,2014,LAK,REP,Adam Putnam
AGR,2014,LEE,DEM,Thaddeus Hamilton
AGR,2014,LEE,REP,Adam Putnam
AGR,2014,LEO,DEM,Thaddeus Hamilton
AGR,2014,LEO,REP,Adam Putnam
AGR,2014,LEV,DEM,Thaddeus Hamilton
AGR,2014,LEV,REP,Adam Putnam
AGR,2014,LIB,DEM,Thaddeus Hamilton
AGR,2014,LIB,REP,Adam Putnam
AGR,2014,MAD,DEM,Thaddeus Hamilton
AGR,2014,MAD,REP,Adam Putnam
AGR,2014,MAN,DEM,Thaddeus Hamilton
AGR,2014,MAN,REP,Adam Putnam
AGR,2014,MON,DEM,Thaddeus Hamilton
AGR,2014,MON,REP,Adam Putnam
AGR,2014,MRN,DEM,Thaddeus Hamilton
AGR,2014,MRN,REP,Adam Putnam
AGR,2014,MRT,DEM,Thaddeus Hamilton
AGR,2014,MRT,REP,Adam Putnam
AGR,2014,NAS,DEM,Thaddeus Hamilton
AGR,2014,NAS,REP,Adam Putnam
AGR,2014,OKA,DEM,Thaddeus Hamilton
AGR,2014,OKA,REP,Adam Putnam
