year,county,president_dem,president_rep,president_total,governor_dem,governor_rep,governor_total,us_senate_dem,us_senate_rep,us_senate_total,attorney_general_dem,attorney_general_rep,attorney_general_total,cfo_dem,cfo_rep,cfo_total,agriculture_commissioner_dem,agriculture_commissioner_rep,agriculture_commissioner_total,us_house_dem,us_house_rep,us_house_total,state_senate_dem,state_senate_rep,state_senate_total,state_house_dem,state_house_rep,state_house_total
2018,Union,0,0,0,972,3841,4868,1197,3650,4847,912,3857,4836,940,3861,4801,948,3904,4852,899,3964,4863,0,0,0,942,3859,4801
2018,Volusia,0,0,0,100478,124819,228760,102819,125762,228581,91437,130511,226486,97085,125971,223056,100863,122739,223602,103779,122589,226368,54589,65167,119756,97273,125300,223975
2018,Wakulla,0,0,0,4194,9802,14220,4868,9322,14190,3985,9858,14111,4262,9759,14021,4491,9535,14026,4469,9623,14092,0,0,0,0,0,0
2018,Walton,0,0,0,7019,22925,30331,7485,22776,30265,6407,23222,30156,6311,23738,30054,7011,23061,30072,7329,22861,30190,6848,23227,30075,0,0,0
2018,Washington,0,0,0,1865,7017,9048,1959,7101,9060,1850,6999,8995,1650,7369,9019,1916,7089,9005,1792,7227,9019,1732,7272,9004,0,0,0
2016,Alachua,75820,46834,128571,0,0,0,69399,54203,127334,0,0,0,0,0,0,0,0,0,71025,51126,125844,71535,55211,126746,36755,34818,71576
2016,Baker,2112,10294,12634,0,0,0,2135,9901,12458,0,0,0,0,0,0,0,0,0,2912,9350,12262,0,0,0,3376,8796,12172
2016,Bay,21797,62194,87453,0,0,0,19971,62906,86713,0,0,0,0,0,0,0,0,0,19664,63115,85806,0,0,0,0,72436,73589
2016,Bradford,2924,8913,12098,0,0,0,2694,8720,11867,0,0,0,0,0,0,0,0,0,3110,8411,11872,0,0,0,3005,8233,11238
2016,Brevard,119679,181848,314752,0,0,0,112914,181496,311397,0,0,0,0,0,0,0,0,0,100858,192156,307153,74253,187402,295111,82064,121165,203229
2016,Broward,553320,260951,831951,0,0,0,522932,278766,819082,0,0,0,0,0,0,0,0,0,495206,259978,763524,128640,75368,204012,101696,81969,183665
2016,Calhoun,1241,4655,6081,0,0,0,1275,4331,6005,0,0,0,0,0,0,0,0,0,1331,4423,5903,3807,2156,5963,0,0,0
2016,Charlotte,33445,60218,96374,0,0,0,30207,60194,95074,0,0,0,0,0,0,0,0,0,31117,57440,93280,18872,33115,51987,0,0,0
2016,Citrus,22789,54456,79700,0,0,0,24038,48798,78262,0,0,0,0,0,0,0,0,0,21681,51587,76290,0,0,0,0,0,0
2016,Clay,27822,74963,106483,0,0,0,23251,77965,105312,0,0,0,0,0,0,0,0,0,26021,73786,103768,0,0,0,4389,78625,97070
2016,Collier,61085,105423,170789,0,0,0,49470,115719,169364,0,0,0,0,0,0,0,0,0,50884,112940,163831,0,129923,129941,7471,123428,130919
2016,Columbia,7601,20368,28707,0,0,0,7361,19924,28301,0,0,0,0,0,0,0,0,0,7761,18926,27365,0,0,0,10155,17993,28148
2016,Desoto,3781,6778,10818,0,0,0,3346,6844,10639,0,0,0,0,0,0,0,0,0,3666,6409,10455,0,0,0,3569,6768,10337
2016,Dixie,1270,5822,7202,0,0,0,1582,5040,6979,0,0,0,0,0,0,0,0,0,1406,5199,6808,0,0,0,1528,5388,6916
2016,Duval,205704,211672,432695,0,0,0,171598,241000,427814,0,0,0,0,0,0,0,0,0,179519,234687,420142,0,0,0,84813,270257,355332
2016,Escambia,57461,88808,152469,0,0,0,51316,94200,151415,0,0,0,0,0,0,0,0,0,58192,89209,147401,0,118835,119111,28206,97038,142436
2016,Flagler,22026,33850,57503,0,0,0,21260,32914,56625,0,0,0,0,0,0,0,0,0,21363,33772,55135,20897,33505,54402,21289,32899,54188
2016,Franklin,1744,4125,6015,0,0,0,1826,3861,5908,0,0,0,0,0,0,0,0,0,1787,3905,5811,2917,2826,5743,0,0,0
2016,Gadsden,15020,6728,22113,0,0,0,14573,6887,21953,0,0,0,0,0,0,0,0,0,16542,4996,21538,17061,4547,21608,18368,0,18371
2016,Gilchrist,1458,6740,8420,0,0,0,1675,6303,8324,0,0,0,0,0,0,0,0,0,1528,6354,8099,0,0,0,1564,6639,8203
2016,Glades,1271,2996,4353,0,0,0,1196,2927,4295,0,0,0,0,0,0,0,0,0,1228,2828,4225,0,0,0,0,0,0
2016,Gulf,1720,5329,7293,0,0,0,1750,5191,7206,0,0,0,0,0,0,0,0,0,1718,5205,7157,3051,4030,7081,0,0,0
2016,Hamilton,1904,3443,5460,0,0,0,2106,3050,5358,0,0,0,0,0,0,0,0,0,2520,2726,5246,2550,2681,5231,3253,2106,5359
2016,Hardee,2149,5242,7583,0,0,0,2025,5151,7494,0,0,0,0,0,0,0,0,0,2152,4806,7235,0,0,0,2080,5315,7395
2016,Hendry,4615,6195,11115,0,0,0,3892,6683,10926,0,0,0,0,0,0,0,0,0,4332,6205,10537,0,8121,8126,0,8111,8112
2016,Hernando,31795,58970,93796,0,0,0,32766,53708,92304,0,0,0,0,0,0,0,0,0,31349,55509,89975,0,0,0,30901,49966,80867
2016,Highlands,14937,29565,45686,0,0,0,14498,28123,44975,0,0,0,0,0,0,0,0,0,13697,28599,43964,0,0,0,0,0,0
2016,Hillsborough,307896,266870,597660,0,0,0,281122,283871,590553,0,0,0,0,0,0,0,0,0,307172,264453,571625,192965,168338,385617,138038,168524,306562
2016,Holmes,853,7483,8514,0,0,0,976,7039,8414,0,0,0,0,0,0,0,0,0,1176,6939,8195,0,0,0,0,6293,8338
2016,Indian River,29043,48620,80009,0,0,0,28288,48181,78988,0,0,0,0,0,0,0,0,0,23813,50249,76518,25838,49851,75689,0,60841,60882
2016,Jackson,6397,14257,21041,0,0,0,6362,13820,20862,0,0,0,0,0,0,0,0,0,6410,13630,20483,0,0,0,0,9654,20389
2016,Jefferson,3541,3930,7645,0,0,0,3623,3751,7596,0,0,0,0,0,0,0,0,0,4324,3190,7525,4844,2649,7493,0,0,0
2016,Lafayette,518,2809,3392,0,0,0,669,2572,3361,0,0,0,0,0,0,0,0,0,587,2569,3230,0,0,0,0,0,0
2016,Lake,62838,102188,170462,0,0,0,59151,100664,167960,0,0,0,0,0,0,0,0,0,58701,101902,162892,20963,113544,134701,0,37502,50030
2016,Lee,124908,191551,326420,0,0,0,104591,204778,321840,0,0,0,0,0,0,0,0,0,110146,197634,309397,0,222865,223145,24133,90331,141840
2016,Leon,92068,53821,152132,0,0,0,86641,59958,151071,0,0,0,0,0,0,0,0,0,91335,54327,147242,106290,41624,147914,96096,41816,137960
2016,Levy,5101,13775,19395,0,0,0,5294,12914,19067,0,0,0,0,0,0,0,0,0,5057,12813,18419,0,0,0,0,0,0
2016,Liberty,651,2543,3296,0,0,0,748,2290,3209,0,0,0,0,0,0,0,0,0,797,2243,3125,2164,1003,3167,0,0,0
2016,Madison,3526,4851,8505,0,0,0,3564,4584,8401,0,0,0,0,0,0,0,0,0,4153,4054,8207,4593,3674,8267,0,0,0
2016,Manatee,71224,101944,178958,0,0,0,66545,102717,177197,0,0,0,0,0,0,0,0,0,64632,110507,175139,0,0,0,40899,63349,104248
2016,Marion,62041,107833,174700,0,0,0,59537,104400,172323,0,0,0,0,0,0,0,0,0,59995,102486,168129,25041,114303,139450,28373,46698,75071
2016,Martin,30185,53204,85792,0,0,0,33685,49806,85520,0,0,0,0,0,0,0,0,0,28474,53479,84756,20647,62149,82796,29243,51031,80274
2016,Miami-Dade,624146,333999,980204,0,0,0,529445,420063,969997,0,0,0,0,0,0,0,0,0,310314,397776,722883,417163,339900,823023,293820,326993,620813
2016,Monroe,18971,21904,42478,0,0,0,18738,21629,41813,0,0,0,0,0,0,0,0,0,15404,23216,41066,18250,21523,39773,14633,26015,40648
2016,Nassau,10869,34266,46607,0,0,0,9544,34974,46110,0,0,0,0,0,0,0,0,0,8755,35663,45315,0,0,0,0,38835,38852
2016,Okaloosa,23780,71893,100855,0,0,0,20813,74749,99992,0,0,0,0,0,0,0,0,0,27135,71684,98819,0,8568,8584,0,72010,72080
2016,Okeechobee,3959,9356,13653,0,0,0,4287,8647,13491,0,0,0,0,0,0,0,0,0,3624,8984,13150,0,0,0,0,0,0
2016,Orange,329894,195216,546275,0,0,0,293696,224853,539825,0,0,0,0,0,0,0,0,0,329569,199411,529346,341088,141008,482273,213082,104068,356682
2016,Osceola,85458,50301,140206,0,0,0,75646,57103,138523,0,0,0,0,0,0,0,0,0,85582,49595,135177,82271,50298,132569,88434,34781,123245
